Abbigail, AE, L, AE, EY, B, L, HE, A, L, 3, SUU, feminine
Abigail, AE, L, AE, EY, B, L, HE, A, L, 3, SUU, feminine
Ada, EY, AH, EY, AH, D, D, DE, A, A, 2, SU, nofrills
Adam, AE, M, AE, AH, D, M, HE, A, M, 2, SU, allboy
Adela, AH, AH, AH, AH, D, L, 99, A, A, 3, USU, feminine
Adelaide, AE, D, AE, EY, D, D, FR, A, E, 3, SUU, feminine
Adele, AH, L, AH, EH, D, L, DE, A, E, 2, US, nofrills
Adeline, AE, N, AE, AY, D, N, FR, A, E, 3, SUU, feminine
Adora, AH, AH, AH, AH, D, R, 99, A, A, 3, USU, feminissima
Adriana, EY, AH, EY, AH, D, N, ES, A, A, 4, UUSU, feminissima
Adrianna, EY, AH, EY, AH, D, N, IT, A, A, 4, UUSU, feminissima
Adrienne, EY, N, EY, EH, D, N, FR, A, E, 3, UUS, feminine
Agatha, AE, AH, AE, AH, G, TH, EL, A, A, 3, SUU, nofrills
Agnes, AE, S, AE, AH, G, S, LA, A, S, 2, SU, nofrills
Adan, EY, N, EY, AH, D, N, G1, A, N, 2, SU, twosyllableboy
Aidan, EY, N, EY, AH, D, N, G1, A, N, 2, SU, twosyllableboy
Aiden, EY, N, EY, AH, D, N, G1, A, N, 2, SU, twosyllableboy
Aileen, AY, N, AY, IY, L, N, G1, A, N, 2, US, feminine
Eileen, AY, N, AY, IY, L, N, G1, E, N, 2, US, feminine
Alan, AE, N, AE, AH, L, N, G1, A, N, 2, SU, allboy
Allan, AE, N, AE, AH, L, N, G1, A, N, 2, SU, allboy
Allen, AE, N, AE, AH, L, N, G1, A, N, 2, SU, allboy
Albert, AE, T, AE, ER, L, T, DE, A, T, 2, SU, allboy
Alec, AH, K, AH, EH, L, K, EL, A, C, 2, SU, allboy
Alex, AE, S, AE, EH, L, S, EL, A, X, 2, SU, trueunisex
Alexa, AE, AH, AE, AH, L, S, EL, A, A, 3, USU, feminine
Alexander, AE, ER, AE, ER, L, ER, EL, A, R, 4, UUSU, allboy
Alexandra, AE, AH, AE, AH, L, R, EL, A, A, 4, UUSU, feminissima
Alexis, AH, S, AH, IH, L, S, EL, A, S, 3, USU, feminine
Alfred, AE, D, AE, EH, L, D, EN, A, D, 2, SU, allboy
Alice, AE, S, AE, IH, L, S, EL, A, E, 2, SU, nofrills
Alicia, AH, AH, AH, AH, L, SH, EN, A, A, 3, USU, feminine
Alison, AE, N, AE, AH, L, N, DE, A, N, 3, SUU, feminine
Allison, AE, N, AE, AH, L, N, DE, A, N, 3, SUU, feminine
Allyson, AE, N, AE, AH, L, N, DE, A, N, 3, SUU, feminine
Alyson, AE, N, AE, AH, L, N, DE, A, N, 3, SUU, feminine
Alan, AE, N, AE, AH, L, N, G1, A, N, 2, SU, allboy
Allan, AE, N, AE, AH, L, N, G1, A, N, 2, SU, allboy
Allen, AE, N, AE, AH, L, N, G1, A, N, 2, SU, allboy
Allegra, AH, AH, AH, AH, L, R, 99, A, A, 3, USU, feminissima
Alan, AE, N, AE, AH, L, N, G1, A, N, 2, SU, allboy
Allan, AE, N, AE, AH, L, N, G1, A, N, 2, SU, allboy
Allen, AE, N, AE, AH, L, N, G1, A, N, 2, SU, allboy
Alison, AE, N, AE, AH, L, N, DE, A, N, 3, SUU, feminine
Allison, AE, N, AE, AH, L, N, DE, A, N, 3, SUU, feminine
Allyson, AE, N, AE, AH, L, N, DE, A, N, 3, SUU, feminine
Alyson, AE, N, AE, AH, L, N, DE, A, N, 3, SUU, feminine
Alissa, AH, AH, AH, AH, L, S, HE, A, A, 3, USU, feminissima
Allyssa, AH, AH, AH, AH, L, S, EL, A, A, 3, USU, feminissima
Alysa, AH, AH, AH, AH, L, S, EL, A, A, 3, USU, feminissima
Alyssa, AH, AH, AH, AH, L, S, EL, A, A, 3, USU, feminissima
Elyssa, AH, AH, AH, AH, L, S, EL, E, A, 3, USU, feminissima
Amanda, AH, AH, AH, AH, M, D, LA, A, A, 3, USU, feminine
Amber, AE, ER, AE, ER, M, ER, EN, A, R, 2, SU, feminine
Amelia, AH, AH, AH, AH, M, L, LA, A, A, 4, USUU, feminine
Aimee, EY, IY, EY, IY, M, M, FR, A, E, 2, SU, feminine
Ami, EY, IY, EY, IY, M, M, FR, A, I, 2, SU, feminine
Amy, EY, IY, EY, IY, M, M, LA, A, Y, 2, SU, feminine
Andrea, AE, AH, AE, AH, N, R, EL, A, A, 3, SUU, feminine
Andrew, AE, UW, AE, UW, N, R, EL, A, W, 2, SS, allboy
Angela, AE, AH, AE, AH, N, L, LA, A, A, 3, SUU, feminine
Angelica, AE, AH, AE, AH, N, K, LA, A, A, 4, USUU, feminissima
Angelina, AE, AH, AE, AH, N, N, IT, A, A, 4, UUSU, feminissima
Ann, AE, N, AE, AE, N, N, HE, A, N, 1, S, nofrills
Anne, AE, N, AE, AE, N, N, HE, A, E, 1, S, nofrills
Anna, AE, AH, AE, AH, N, N, HE, A, A, 2, SU, nofrills
Anabel, AE, L, AE, EH, N, L, FR, A, L, 3, SUU, feminine
Annabel, AE, L, AE, EH, N, L, FR, A, L, 3, SUU, feminine
