+-------------+-------------+
| designator  | name        |
+-------------+-------------+
| Aaron       | Aaron       |
| Abbott      | Abbie       |
| Abbott      | Abbott      |
| Abe         | Abe         |
| Abe         | Abraham     |
| Abel        | Abel        |
| Abner       | Abner       |
| Abram       | Abram       |
| Abram       | Aram        |
| Absolom     | Absalom     |
| Absolom     | Absolom     |
| Ace         | Ace         |
| Adair       | Ada         |
| Adair       | Adair       |
| Adair       | Adelaide    |
| Adair       | Adele       |
| Adair       | Adeline     |
| Adam        | Adam        |
| Addison     | Addison     |
| Adlai       | Adlai       |
| Adonai      | Adonai      |
| Adonis      | Adonis      |
| Adriano     | Adrian      |
| Adriano     | Adriano     |
| Adriano    | Adriana     |
| Adriano    | Adrienne    |
| Agatha      | Agatha      |
| Aggie       | Aggie       |
| Aggie       | Agnes       |
| Aggie       | Annice      |
| Aida        | Aida        |
| Aiden       | Aidan       |
| Aiden       | Aiden       |
| Aimee       | Aimee       |
| Aimee       | Ami         |
| Aimee       | Amity       |
| Aimee       | Amy         |
| Ainslie     | Ainsley     |
| Ainslie     | Ainslie     |
| Aisha       | Aisha       |
| Ajax        | Ajax        |
| Ajay        | Ajay        |
| Ajay        | Vijay       |
| Akiva       | Akiva       |
| Alameda     | Alameda     |
| Alana       | Alana       |
| Alana       | Alanna      |
| Alana       | Alayna      |
| Alberta     | Al          |
| Alberta     | Albert      |
| Alberta     | Alberta     |
| Alberta     | Alberto     |
| Alberta     | Aubrey      |
| Alexavier   | Alexavier   |
| Alfred      | Alfred      |
| Alfred      | Alfredo     |
| Algernon    | Algernon    |
| Alida       | Alida       |
| Aliya       | Aliya       |
| Aliza       | Aliza       |
| Allen       | Alain       |
| Allen       | Alan        |
| Allen       | Allan       |
| Allen       | Allen       |
| Allyson     | Aletha      |
| Allyson     | Alice       |
| Allyson     | Alicia      |
| Allyson     | Alison      |
| Allyson     | Alissa      |
| Allyson     | Allie       |
| Allyson     | Allison     |
| Allyson     | Ally        |
| Allyson     | Allyson     |
| Allyson     | Alyson      |
| Alma        | Alma        |
| Almira      | Almira      |
| Aloha       | Aloha       |
| Aloysius    | Aloysius    |
| Alphonse    | Alfonso     |
| Alphonse    | Alphonse    |
| Althea      | Althea      |
| Alvin       | Alvin       |
| Alyn        | Alyn        |
| Alyn        | Lynnea      |
| Alyssa      | Alisa       |
| Alyssa      | Alyssa      |
| Amadeus     | Amadeus     |
| Amalie      | Amalia      |
| Amalie      | Amalie      |
| Amalie      | Amelia      |
| Amalie      | Amelie      |
| Amanda      | Amanda      |
| Amanda      | Mandy       |
| Amaris      | Amaris      |
| Amaryllis   | Amaryllis   |
| Amber       | Amber       |
| Ambrose     | Ambrose     |
| Amiel       | Amiel       |
| Amos        | Amos        |
| Anais       | Anais       |
| Analise     | Analiese    |
| Analise     | Analise     |
| Analise     | Annalise    |
| Analise     | Annelise    |
| Anatola     | Anatola     |
| Anatola     | Anatole     |
| Andy        | Andre       |
| Andy        | Andrea      |
| Andy        | Andreas     |
| Andy        | Andres      |
| Andy        | Andrew      |
| Andy        | Andy        |
| Andy        | Drew        |
| Andy        | Dru         |
| Angelina    | Angel       |
| Angelina    | Angela      |
| Angelina    | Angelica    |
| Angelina    | Angelina    |
| Angelina    | Angelique   |
| Angelina    | Angelito    |
| Angelina    | Angelo      |
| Angelina    | Angie       |
| Angus       | Angus       |
| Ani         | Ani         |
| Anise       | Anise       |
| Annabella   | Annabel     |
| Annabella   | Annabella   |
| Annabella   | Annabelle   |
| Annick      | Ana         |
| Annick      | Anika       |
| Annick      | Anita       |
| Annick      | Anja        |
| Annick      | Ann         |
| Annick      | Anna        |
| Annick      | Anne        |
| Annick      | Anneke      |
| Annick      | Annette     |
| Annick      | Annick      |
| Annick      | Annie       |
| Annick      | Anya        |
| Annick      | Hannah      |
| Annick      | Nan         |
| Annick      | Nancy       |
| Annick      | Nanette     |
| Ansel       | Ansel       |
| Anson       | Anson       |
| Anton       | Anthony     |
| Anton       | Antoinette  |
| Anton       | Anton       |
| Anton       | Antonia     |
| Anton       | Antonie     |
| Anton       | Antonio     |
| Anton       | Antony      |
| Anton       | Toni        |
